Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-288.01282	62.864178	-144.4872	-369.00983	-594.48224	2.9012907	-590.1457	-597.9551	1000.0	1000.0	9999	12.83894	10.06311	42.308537	-8.307191	-13.609468	0.4488335	78.59062600135803
2	-310.78796	260.86868	148.901	-577.0742	-602.8097	80.28977	-471.4475	-728.8903	1000.0	1000.0	19999	32.79985	15.254515	97.603615	5.6605706	-34.3412	1.0796576	154.30972909927368
3	413.89966	765.12244	1956.4764	-690.489	1969.4713	139.43216	2208.1006	1801.6527	1000.0	1000.0	29999	77.54417	28.908571	177.04604	28.92591	-79.23719	2.9851646	229.78961825370789
4	2381.638	901.2623	3339.1602	705.7807	2067.8062	1367.7146	3474.9182	-581.1764	1000.0	1000.0	39999	133.87086	62.357933	304.6884	23.675228	-136.10225	6.4295554	305.22469210624695
5	2603.2817	1177.1968	3623.3428	444.9045	2613.527	1652.3575	4377.095	-125.31753	1000.0	1000.0	49999	210.47594	94.61826	399.9284	45.12743	-212.91002	11.49337	381.47855401039124
6	3206.1099	871.0624	4047.2842	981.1453	3740.1516	546.4367	4409.9854	2348.2441	1000.0	1000.0	59999	274.4535	121.67819	468.19028	24.018497	-276.8534	15.764528	456.99783873558044
7	4420.345	387.73657	4853.985	3761.3218	4626.9497	389.7975	5016.119	3637.9712	1000.0	1000.0	69999	337.91614	128.35417	534.2642	32.42325	-340.668	21.073626	532.3638746738434
8	5279.1294	240.84837	5683.9263	4869.9473	5637.9697	362.32333	5948.733	4612.1763	1000.0	1000.0	79999	410.4347	118.75031	609.32697	115.76903	-413.507	21.572044	607.7596771717072
9	5028.5195	940.10443	6007.9893	3158.607	4572.8906	1118.6664	6014.511	2355.0823	1000.0	1000.0	89999	479.0854	111.1961	672.2649	198.9628	-482.29376	24.499725	683.0742239952087
10	5733.295	1300.4916	6493.515	1937.4587	4954.001	1806.6	6433.015	277.51633	1000.0	1000.0	99999	530.3679	123.8673	735.28015	229.65211	-533.4742	26.322884	758.4997475147247
11	6320.7314	275.5345	6850.565	5853.9688	5286.753	1896.048	6844.103	313.40097	1000.0	1000.0	109999	578.5271	129.58461	790.1816	262.64618	-581.84735	28.730024	833.7519953250885
12	6576.647	546.09564	7233.443	5667.642	7284.755	136.13664	7605.203	7072.002	1000.0	1000.0	119999	624.8546	127.784966	830.21857	311.0644	-628.0975	29.861177	909.0312852859497
13	6256.3975	1650.6876	7610.8115	2028.6062	7804.939	171.98495	8021.622	7569.4404	1000.0	1000.0	129999	665.3005	126.13772	891.3504	318.68143	-668.7963	32.31758	984.2694001197815
14	7246.9907	232.69437	7655.9263	6808.8325	6338.939	120.08918	6622.5713	6173.3877	1000.0	1000.0	139999	701.8818	124.81961	923.80835	392.2559	-705.2299	32.65932	1059.2479667663574
15	6466.0894	2005.9728	7541.804	516.84265	7377.772	1361.38	8184.7554	3362.6187	1000.0	1000.0	149999	731.264	130.12946	949.149	391.90063	-734.58795	33.959633	1134.2696239948273
16	6882.422	1053.2214	7781.752	4544.9126	7950.069	200.11465	8184.5996	7615.3213	1000.0	1000.0	159999	752.9222	138.4043	976.6857	315.52496	-756.2409	36.7584	1209.2357783317566
17	7665.9624	353.44907	8026.8228	6912.5435	7860.2314	1333.0408	8625.338	3887.0918	1000.0	1000.0	169999	776.5407	143.92705	994.86	223.50653	-779.79834	39.074505	1284.6339836120605
18	7643.4937	371.42816	8176.259	7097.806	7629.296	306.19144	8051.9175	7213.8643	1000.0	1000.0	179999	798.8271	147.1153	1012.1256	186.40135	-802.257	41.11182	1359.6300117969513
19	7790.6904	403.45856	8217.213	6700.1587	8013.8047	527.5609	8485.853	6899.029	1000.0	1000.0	189999	821.7837	141.33168	1031.455	203.72527	-825.095	40.748356	1434.5484201908112
20	7666.6416	653.1319	8363.105	6069.45	8001.574	286.22086	8261.219	7198.184	1000.0	1000.0	199999	838.07434	142.92946	1041.1062	209.51202	-841.3492	41.97897	1509.3949382305145
