Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-1192.1024	293.4008	-650.5951	-1751.7761	-736.2306	732.9189	-1.8571925	-1654.4893	200.0	200.0	10000	-85.0704	51.7888	13.941597	-247.6165	82.19175	2.5810828	20.45435643196106
2	-291.26276	448.19562	-0.72704595	-1652.5852	-210.199	110.729744	-115.11616	-375.5402	200.0	200.0	20000	-89.91698	71.86329	40.647648	-265.2788	86.23218	3.5679543	42.25990128517151
3	-142.2411	79.28072	-0.12337599	-343.4969	-175.40323	70.926506	-118.47924	-330.3789	200.0	200.0	30000	-49.335716	70.72879	21.264986	-265.07498	46.92533	2.6447992	64.93031334877014
4	-148.55865	87.651	-1.1232933	-336.29657	-223.2332	77.66487	-113.815575	-328.2551	200.0	200.0	40000	-34.41818	64.1346	18.471237	-254.52586	32.72735	1.7766236	86.47064232826233
5	-152.60416	84.26635	-0.8768763	-363.3713	-149.14468	99.53357	-0.9836969	-323.17767	200.0	200.0	50000	-26.609978	60.22698	13.567168	-253.20493	25.250505	1.4195389	106.2594780921936
6	-145.25932	95.56203	-0.2754457	-341.69205	-201.82787	101.35947	-118.958435	-366.39926	200.0	200.0	60000	-21.401274	57.66575	12.915504	-252.80743	20.270744	1.1876383	125.97079205513
7	-154.6122	87.58242	-0.53714406	-346.057	-154.90723	52.843044	-116.582596	-244.81992	200.0	200.0	70000	-17.349579	55.419514	13.486311	-251.6726	16.393251	1.0718154	145.79271340370178
8	-148.39207	86.18013	-0.58201075	-341.377	-184.20282	84.88736	-0.70205027	-308.4887	200.0	200.0	80000	-16.135384	53.124844	12.42378	-249.68414	15.313102	0.9542721	165.55851030349731
9	-143.79962	72.445366	-0.91150635	-351.46494	-97.40041	71.20425	-0.7749042	-236.39136	200.0	200.0	90000	-14.624032	51.892155	11.680561	-250.35619	13.882543	0.89157814	185.27333688735962
10	-168.04854	87.310936	-1.5002356	-357.9972	-184.62523	68.40051	-118.163376	-324.03558	200.0	200.0	100000	-14.427895	50.38454	11.278835	-251.8604	13.7876625	0.86340564	205.05795097351074
11	-145.24411	89.94	-1.8264133	-356.70233	-130.71805	59.494354	-2.3551395	-227.36124	200.0	200.0	110000	-15.63372	48.82252	10.084965	-252.6679	15.067941	0.8268127	225.938707113266
12	-149.12308	98.17584	-1.9057509	-365.72037	-184.11935	68.978264	-115.539635	-297.51343	200.0	200.0	120000	-16.654669	47.805496	7.2637925	-253.64085	16.1351	0.7790315	246.64713501930237
13	-161.28409	95.91387	-1.7740047	-366.42215	-141.27303	66.6923	-3.412017	-231.32117	200.0	200.0	130000	-16.965105	47.18911	6.502867	-253.33511	16.48074	0.7511236	270.4018449783325
14	-154.13977	91.22999	-0.3004111	-355.0629	-144.20517	87.93607	-2.5183773	-353.3042	200.0	200.0	140000	-16.60976	46.443924	6.385899	-254.19205	16.152472	0.7147433	290.5821304321289
15	-134.01979	75.49682	-0.4404907	-251.53125	-140.52798	98.43232	-1.1482886	-341.4355	200.0	200.0	150000	-15.910381	45.85555	6.6607413	-255.18365	15.467291	0.7146039	310.6840777397156
16	-143.31001	90.27056	-0.68551385	-346.6975	-167.66362	58.628902	-114.67041	-258.7371	200.0	200.0	160000	-14.98227	45.23366	6.554079	-254.24484	14.560447	0.6832846	330.8188006877899
17	-137.86293	78.32731	-1.5362592	-331.6991	-158.91898	90.98362	-1.9774286	-350.181	200.0	200.0	170000	-14.249783	44.96022	7.0251875	-254.35623	13.8572235	0.6657057	350.92045545578003
18	-150.06729	88.30655	-1.0569911	-330.83572	-157.50568	92.88994	-3.1422133	-334.71548	200.0	200.0	180000	-13.848452	44.159367	8.750569	-253.7553	13.469889	0.64446115	370.9872694015503
19	-124.74149	85.75167	-0.7155539	-307.18668	-134.41145	33.703945	-115.20753	-234.66177	200.0	200.0	190000	-13.215028	43.667564	8.553094	-254.59315	12.844607	0.63719285	391.0935490131378
20	-152.36871	87.12673	-2.5693007	-359.7421	-118.973434	87.75065	-3.5191529	-233.7089	200.0	200.0	200000	-12.015906	43.134075	8.993789	-252.17076	11.642325	0.64279646	412.1761808395386
21	-153.21754	72.51142	-3.4701037	-328.31906	-146.27856	71.62309	-0.9427848	-262.9404	200.0	200.0	210000	-11.336198	42.577347	9.107954	-251.72708	10.994469	0.6375879	431.8913688659668
22	-165.5479	79.59705	-3.7763112	-362.62967	-143.60909	122.48762	-4.331699	-353.90964	200.0	200.0	220000	-10.701388	42.616886	9.2332115	-251.32314	10.351612	0.63220197	451.6890411376953
23	-174.81723	91.506454	-3.300947	-364.13702	-132.95045	61.02599	-2.5287726	-233.52753	200.0	200.0	230000	-10.436008	42.425846	9.161698	-249.76694	10.118847	0.6380298	471.52885580062866
24	-131.90164	95.412834	-1.4644465	-345.4513	-134.95422	84.46743	-2.152869	-270.34314	200.0	200.0	240000	-9.960462	42.277126	9.5297365	-248.7608	9.611897	0.6298843	491.2990598678589
25	-154.09291	79.704765	-2.6143966	-339.39346	-133.87881	60.680405	-3.3542857	-232.00787	200.0	200.0	250000	-7.395841	42.5745	11.197156	-250.15567	7.0423765	0.6245567	511.05083322525024
26	-123.96635	72.52679	-0.1505891	-259.56418	-142.49832	42.641113	-113.07528	-232.79227	200.0	200.0	260000	-6.2424936	41.954052	13.363416	-247.66193	5.910691	0.62844265	530.9539399147034
27	-173.39706	87.42236	-2.6753078	-374.76974	-108.51936	35.643517	-2.1624458	-126.85368	200.0	200.0	270000	-5.6930485	41.477303	14.031569	-247.07416	5.361351	0.6083751	550.8262875080109
28	-142.52641	88.2977	-2.05563	-346.7611	-110.95003	82.68426	-2.9935164	-243.04308	200.0	200.0	280000	-6.2277875	40.945522	13.9807415	-245.7456	5.944457	0.6061311	571.3088548183441
29	-128.16632	66.75325	-2.4550583	-245.75342	-170.1359	55.404022	-117.0974	-241.31259	200.0	200.0	290000	-7.8493404	40.405563	11.259837	-246.85529	7.610731	0.5772937	591.1272306442261
30	-155.18416	94.0672	-3.3942673	-374.66373	-159.14047	74.51723	-8.931065	-248.7835	200.0	200.0	300000	-9.228961	40.307823	9.914984	-247.33263	8.959111	0.57263994	610.8744969367981
31	-157.28604	81.76512	-6.744989	-353.93597	-127.4343	76.08028	-8.054718	-255.07918	200.0	200.0	310000	-7.912806	40.871353	9.996558	-247.85736	7.614775	0.5752536	630.6829881668091
32	-172.1835	91.357	-7.051679	-371.0804	-125.77611	74.43064	-7.494721	-253.72635	200.0	200.0	320000	-7.009529	40.52548	10.416448	-249.11777	6.7459702	0.57837385	650.5047423839569
33	-152.67511	83.86892	-4.5230203	-359.0152	-157.84438	89.72035	-6.7193594	-245.85136	200.0	200.0	330000	-7.328175	40.153683	10.0160265	-248.2584	7.076392	0.56279397	670.2817690372467
34	-136.13116	70.01252	-5.8145275	-369.30203	-133.13922	58.31406	-7.9173174	-227.4323	200.0	200.0	340000	-7.569632	40.065006	8.702967	-248.20325	7.3205547	0.56373197	692.9587125778198
35	-183.05907	72.33024	-2.873654	-321.31577	-146.86397	90.25304	-2.0754807	-362.96698	200.0	200.0	350000	-7.9488096	40.06683	9.258732	-248.52281	7.72113	0.5554036	716.2825565338135
36	-131.68776	69.33067	-1.4061731	-242.6504	-167.10101	57.10121	-115.22583	-249.18806	200.0	200.0	360000	-9.499758	39.206203	7.9523754	-249.37758	9.304746	0.5453957	739.4634087085724
37	-152.40479	79.01125	-0.20378105	-338.15912	-127.8785	88.3559	-0.42709455	-311.709	200.0	200.0	370000	-9.766274	39.50471	7.69315	-249.81396	9.519106	0.5499635	761.1345567703247
38	-151.28566	87.88479	-0.43370056	-366.116	-142.71817	68.50252	-2.2371469	-245.98734	200.0	200.0	380000	-8.649783	39.409145	9.0167675	-249.94487	8.427303	0.5423407	784.3804113864899
39	-141.67053	72.330826	-1.5842279	-369.80975	-133.3206	32.993023	-117.37262	-231.76942	200.0	200.0	390000	-9.000129	39.085606	8.711063	-248.95078	8.796551	0.5392206	805.9996936321259
40	-148.14647	81.16041	-2.464255	-318.89566	-172.24338	96.03126	-7.028178	-365.88107	200.0	200.0	400000	-10.016053	38.76026	7.493787	-248.84431	9.828064	0.5356579	827.8014969825745
41	-130.83778	87.92085	-1.8806401	-357.8781	-230.1613	83.57537	-115.16434	-346.393	200.0	200.0	410000	-10.512673	38.575657	7.220922	-249.26909	10.324568	0.5220506	849.5708811283112
42	-141.07913	73.95212	-0.535953	-364.19986	-187.1058	76.1131	-115.63534	-345.26825	200.0	200.0	420000	-10.364427	38.67177	7.2499676	-249.79034	10.170257	0.5237859	871.6881937980652
43	-141.32616	82.84627	-0.30873364	-375.57547	-202.96884	54.172104	-118.172745	-248.60933	200.0	200.0	430000	-10.198346	38.44526	7.4158926	-250.17386	10.012878	0.52005297	893.8048610687256
44	-143.32407	95.81226	-0.5281226	-356.04153	-143.77628	67.5898	-5.4487305	-236.17712	200.0	200.0	440000	-10.096937	38.39845	6.6027155	-248.69785	9.895704	0.53094196	916.3877789974213
45	-142.92516	83.70138	-1.7253535	-375.40512	-121.76675	75.54499	-2.2408063	-248.93771	200.0	200.0	450000	-8.80377	38.596886	8.2501	-250.72185	8.602745	0.5349329	937.7826013565063
46	-116.37647	73.82498	-1.8702943	-251.33676	-141.98727	100.53416	-2.6597483	-341.2757	200.0	200.0	460000	-8.828932	38.248657	7.6152105	-248.81837	8.641753	0.52559924	961.1704330444336
47	-146.61774	61.449017	-2.3300128	-342.92734	-123.87488	76.97921	-2.579574	-248.4814	200.0	200.0	470000	-8.473424	37.993904	7.791128	-248.2831	8.276051	0.52953064	986.4233610630035
48	-136.46114	88.567795	-2.4558678	-356.99753	-131.14095	79.978226	-2.799412	-235.99342	200.0	200.0	480000	-8.041808	37.744343	8.405589	-248.31749	7.8372703	0.52137357	1007.9005689620972
